PROGRESSIVE POMODORO,,,,,,
Time,Day,message,break,Total_num_breaks,Focus_time,Total_focus_time
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
4/26/2024 22:27,Let's get started!,0,8,4,,
 22:29:03,Let's get started!,0,8,4,,
 22:29:22,Let's get started!,0,8,4,,
 22:29:54,Let's get started!,0,18,9,,
 22:30:25,Let's get started!,0,38,19,,
 22:33:00,Let's get started!,5,39,39
 22:36:32,Let's get started!,0,8,4
 22:37:18,Let's get started!,0,26,13
 22:40:01,Let's get started!,0,8,4
 22:42:38,Let's get started!,0,8,4
 22:43:19,Let's get started!,0,26,13
 22:44:00,Let's get started!,5,9,22
 22:46:33,Let's get started!,10,14,36
 22:55:25,Let's get started!,0,8,4
 22:56:28,Let's get started!,0,56,28
 22:57:50,Let's get started!,5,29,57
 22:58:39,Let's get started!,5,77,81
 22:59:42,Let's get started!,5,115,100
 23:00:53,Let's get started!,12,39,139
 23:02:21,Let's get started!,23,59,198
 23:06:47,Let's get started!,0,8,4
 23:07:25,Let's get started!,0,56,28
 23:08:44,Let's get started!,8,44,72
 23:23:38,Let's get started!,0,8,4
 23:35:34,2024-04-26,Let's get started!,0,8,4
 23:36:11,2024-04-26,Let's get started!,0,56,28
 23:36:58,2024-04-26,Let's get started!,0,114,57
 23:37:40,2024-04-26,Let's get started!,0,172,86
 23:39:44,2024-04-26,Let's get started!,0,250,125
 23:40:55,2024-04-26,Let's get started!,0,368,184
 23:41:37,2024-04-26,Let's get started!,0,8,4
 23:42:14,2024-04-26,Let's get started!,0,56,28
 23:43:23,2024-04-26,Let's get started!,8,44,72
 23:44:53,2024-04-26,Let's get started!,20,64,136
 00:00:16,2024-04-27,"Lets follow it's early in the morning./pomo.py 5 yuy!
",34,170,170
 00:03:59,2024-04-27,"Lets follow it's early in the morning./pomo.py 5 yuy!
",72,175,345
 00:07:30,2024-04-27,"Lets follow it's early in the morning./pomo.py 5 yuy!
",18,90,90
 00:10:08,2024-04-27,"Lets follow it's early in the morning./pomo.py 5 yuy!
",40,110,200
 00:33:42,2024-04-27,Let's Get Started!!!,0,10,5
 00:44:31,2024-04-27,Let's Get Started!!!,0,10,5
 00:45:37,2024-04-27,Let's Get Started!!!,0,10,5
 01:18:57,2024-04-27,Let,0,10,5
 01:19:13,2024-04-27,Let,0,10,5
 01:22:27,2024-04-27,Let,0,10,5
 01:22:44,2024-04-27,Let,0,30,15
